ticker,cluster_id,weight,mean_ret,std_ret
LPB,1,0.5541230710763898,0.0020064961126895,0.0259683418219629
SHB,1,-0.0017149451396000048,0.0014135096661181,0.0272918359946289
HDB,1,-0.002992107495546905,0.0010472670225615,0.0220445182111655
STB,1,-0.003065685701391033,0.0010879692060043,0.0253174987635979
VIB,1,-0.0030656888196830792,0.0010466324520716,0.021738249996237
VPB,1,-0.0031279166713267526,0.0010259795280099,0.0233195460669999
ACB,1,-0.0035175547073136044,0.0009026513267562,0.0189664722703982
MBB,1,-0.003588171971886561,0.000925594672117,0.020797631477764
CTG,1,-0.0038406142582565576,0.0008616500947796,0.022310609474143
TPB,1,-0.004125451964031676,0.0007356231652843,0.0219321135858716
TCB,1,-0.00421660760030889,0.0007662031866571,0.0222319935760838
BID,1,-0.006180305554346981,0.0002352647758706,0.0225246799514708
DGC,2,0.4489277771278359,0.0017897157863893,0.0258591642815066
FPT,2,-0.002146360127577575,0.0010542189761877,0.0181270094852596
SSI,2,-0.002369502743502767,0.0011141361312319,0.0276725293619244
HPG,2,-0.0032328140181646604,0.0008119768496799,0.0222242560339666
BCM,2,-0.003793423629253979,0.000610333911261,0.0245376851275519
GVR,2,-0.0038801580167509516,0.0007061619190585,0.0293258653471607
MWG,2,-0.004391590316421921,0.0005383723356973,0.0238753684642338
MSN,2,-0.004801492446908037,0.0003607944844563,0.0229296003561097
GAS,2,-0.006004094758289484,5.450686443697541e-05,0.0206124419005559
PLX,2,-0.007025731575711964,-0.0002012457531425,0.0207371456059444
VIC,3,0.08755957743778166,0.0006516317470343,0.0219530015673772
VHM,3,-0.0011987529017842516,0.0003467815655769,0.0217233563010668
VRE,3,-0.0027214777907267986,-2.0316752335358447e-06,0.0248670157656926
VJC,4,-0.0014198381433932245,0.0002219189763892,0.0178991849803474
VCB,4,-0.0014521183177167514,0.0002655836146489,0.0171294402866801
VNM,4,-0.0026745871814528397,-8.169151618303714e-05,0.0152962000815269
SAB,4,-0.0040528933450672475,-0.0004457814550748,0.0178154204494184
