ticker,cluster_id,weight,mean_ret,std_ret
TPB,1,0.07406033683045106,0.0007356231652843,0.0219321135858716
ACB,1,0.043107484205914516,0.0009026513267562,0.0189664722703982
VIB,1,0.010617309280617385,0.0010466324520716,0.021738249996237
SHB,1,0.00010091499594849196,0.0014135096661181,0.0272918359946289
BID,1,1.5887064119348925e-19,0.0002352647758706,0.0225246799514708
CTG,1,1.4847144035066135e-19,0.0008616500947796,0.022310609474143
MBB,1,1.1528600849302015e-19,0.000925594672117,0.020797631477764
TCB,1,9.862496982212504e-20,0.0007662031866571,0.0222319935760838
HDB,1,9.81741636073131e-20,0.0010472670225615,0.0220445182111655
STB,1,7.552132485242759e-20,0.0010879692060043,0.0253174987635979
VPB,1,5.813414724492477e-20,0.0010259795280099,0.0233195460669999
LPB,1,-1.4551010872155669e-22,0.0020064961126895,0.0259683418219629
FPT,2,0.13041105251771445,0.0010542189761877,0.0181270094852596
BCM,2,0.041197937542907244,0.000610333911261,0.0245376851275519
GAS,2,0.03714592899158917,5.450686443697541e-05,0.0206124419005559
DGC,2,0.019116443380772865,0.0017897157863893,0.0258591642815066
PLX,2,0.015059118843594288,-0.0002012457531425,0.0207371456059444
MSN,2,0.010047471662029244,0.0003607944844563,0.0229296003561097
HPG,2,7.758325279981485e-20,0.0008119768496799,0.0222242560339666
SSI,2,5.568349337221253e-20,0.0011141361312319,0.0276725293619244
MWG,2,3.395068632044887e-20,0.0005383723356973,0.0238753684642338
GVR,2,-9.57162650541789e-21,0.0007061619190585,0.0293258653471607
VIC,3,0.10878151149460011,0.0006516317470343,0.0219530015673772
VHM,3,0.010354490253861495,0.0003467815655769,0.0217233563010668
VRE,3,2.461690864490934e-19,-2.0316752335358447e-06,0.0248670157656926
VNM,4,0.1889588139987121,-8.169151618303714e-05,0.0152962000815269
VJC,4,0.13980549537659234,0.0002219189763892,0.0178991849803474
SAB,4,0.13172714468492228,-0.0004457814550748,0.0178154204494184
VCB,4,0.039508545939773314,0.0002655836146489,0.0171294402866801
