date,ACB,BCM,BID,CTG,DGC,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-03,0.0,-0.010509246931145863,-0.004164306604703399,-0.009177614717638453,-0.016736792355523864,-0.017151444741230835,0.002044642048144644,0.03470849140072676,-0.008462673918733767,0.006020487781583025,0.0,0.003241493924171023,0.008850570455698958,-0.014467292047583836,0.010551867524028655,0.0026111157481625903,-0.032186686495901215,-0.008312599819365586,0.0,-0.006247231384435739,0.008271345750677334,-0.009996238563376125,0.0035104551767519273,-0.0073081933067247525,0.002735445238329417,0.0,0.0033296368164484006,-0.007479466431292624,0.0072516633953202065
2020-01-06,-0.022849432772343803,-0.01025274451728315,-0.019537108679868253,0.0021253993123135366,-0.019887019042717124,-0.010628119365844952,0.031168742938925416,-0.01769957709940086,-0.020029281875572416,-0.0060204877815831365,-0.025975486403260563,-0.014670189747793742,-0.015813174736417978,-0.005237779031748528,0.00349269073677838,-0.0035209304361918424,-0.014117881545785157,-0.0016708441648176058,-0.014815085785140474,-0.02538667613624014,-0.014938037108866493,-0.02715571566750069,-0.021412715401763673,-0.01726306742378071,-0.007049177417776263,-0.013605652055778598,-0.007646891624599672,-0.02278002833182,-0.027840625972941846
2020-01-07,0.0,-0.02799212434407706,0.01953710867986835,0.016146366923641974,0.01988701904271715,0.01924061279284356,-0.007119824761294537,-0.026132140276848057,-0.011628037995119099,-0.013374059525256755,0.0,0.0032786914616982953,0.003487361860415711,0.007709289283367869,-0.014044558260807015,0.0009098146880293171,0.0,0.0016708441648175007,0.009901070982711537,0.006407344575000474,0.0016708441648175007,0.003435067454879964,0.00487013949604273,0.0,0.0017669583472279973,-0.0006851661795963904,0.009307561809740043,0.019772507267864562,0.008875797913968511
2020-01-08,-0.017094433359300183,-0.0068363350182910525,0.00868749562062202,-0.00209132177999761,-0.050479353760276895,-0.022646113529972766,-0.0009975063171254136,-0.0362922151683876,0.0,-0.009840177801511234,0.0,-0.014839513862774446,-0.0140230168207494,-0.024432087012827917,-0.014244621005761758,-0.0036442358973395534,0.0,-0.027074411764956976,-0.016890615164423733,-0.019346526946197744,-0.013445580709351208,-0.009009069942365857,-0.015668673747455442,-0.017566323717899054,-0.003537044363533206,-0.007567975577123901,0.0026237672995804307,-0.01212136053234485,-0.037513776101497406
2020-01-09,0.012461220437812033,-0.007267195876512332,0.05274015992176852,0.03631779744953259,0.039163815767700956,0.01403362010297423,-0.018805120979054225,0.01882900815290756,0.028820438535491884,0.023214237326768028,0.0,0.016474837203505042,0.01749825924105272,0.014786153051677365,0.00892663816466793,0.016968732941905918,0.014117881545785022,0.010238997301094286,0.016890615164423802,0.012939182371197391,0.008424649659251623,0.019244036600722682,0.009658747430959146,0.0075662403833158766,0.0035370443635332136,0.00962206736406203,-0.0017944652479050878,0.031510483968185926,0.03898544671295359
2020-01-10,0.013835731852650008,0.0,0.03264020234081864,0.04795664378007214,0.0,-0.0019240025175221252,0.007261705472849854,0.017463207015479893,0.022472855852058576,0.007220247973487097,0.0405211974056394,0.016207810226853303,-0.008710856474248295,0.005247905981438695,-0.008926638164667856,0.028202034953269794,0.08934510033584975,0.020168750883620846,0.033901551675681416,0.004580860048966053,0.01828812399414856,0.009096878846830652,0.01423511582187191,0.0,0.0007843137656961813,0.0,0.0026215951544491718,0.01466301931007449,-0.0014716706114561394
2020-01-13,0.009118604216434338,0.03173670208139743,-0.023760726489143635,-0.014862955350159055,0.0028409110016036497,-0.006763310804860517,-0.006245273062792608,0.009123225975522191,-0.006968669316093316,0.00239521072595485,-0.014545711002378751,-0.004834820054583293,0.00871085647424838,-0.005247905981438668,0.0035802231127008127,0.0017432996352281106,0.012739025777429932,0.0,-0.009569451016150672,-0.00918280098233498,0.0032894766503987053,-0.001294498562645697,0.021137060265854355,0.017435061822101347,0.0009795279458870655,0.0020498811414440404,-0.01275845901586457,-0.022075951699199847,-0.005908436686166394
2020-01-14,0.025393448088709313,0.010358953157483124,0.0,0.012936791030719581,0.02105340919783248,-0.001940806043462385,-0.004241967843912041,-0.009123225975522063,0.0027932979056126536,0.03062665757899147,0.0,0.009646377051805335,-0.006962604280719055,-0.0052755918553675065,-0.007173310292960537,-0.003926706616171752,0.0,0.004979263399607364,-0.009661910911736859,-0.0018467225931646629,0.006546668226314368,0.0,0.0,0.009828088936262693,0.0007829321206355332,-0.003418806748785609,0.003483110452820178,0.026433257068155646,0.0
2020-01-15,-0.008888947417246152,-0.00664699640834319,0.017873263595712483,0.003848625661294235,0.0,0.0,-0.009396156940576134,-0.009207226168460805,-0.008403410796379391,0.005783706116848761,0.0,-0.001601281366973768,-0.0017482521935292823,0.0011129661694206506,-0.001801396569095542,0.004362057080165828,0.02910808415807055,0.0,-0.004866189651173011,0.0,0.003257331870306505,-0.0010368067284402492,0.0,-0.009828088936262651,0.0,0.0,0.0,0.024339068305267622,-0.016430541396095927
2020-01-16,0.026433257068155646,0.0033290210141610293,0.05704262619436113,0.05359538006978574,-0.0041753714104806215,0.017333125328448544,-0.0075810149430884715,0.009207226168460895,0.03183659881127468,0.005750447128437938,0.014545711002378716,0.02531780798429,-0.005263170044274644,0.012161565039275435,0.005394483749355384,-0.0030514409030453615,0.012220111334775397,0.03737234269810578,0.014528100562909808,0.017407677316253024,0.006483004878078312,0.002331305291086095,-0.0023616479527239637,0.009828088936262693,0.0,0.0,0.0033324107483918646,0.00845075451772303,-0.012121360532344963
